Datum,Zuletzt,Eröffn.,Hoch,Tief,Vol.,+/- %,28daysSmoothened,diffSmoothened
2023-12-11,16794.43,"16.760,59","16.817,81","16.734,27","66,74M","0,21%",15898.237500000001,66.82714285714246
2023-12-12,16791.74,"16.823,01","16.837,18","16.753,81","67,86M","-0,02%",15957.099642857143,58.86214285714232
2023-12-13,16766.05,"16.811,56","16.836,45","16.760,12","65,41M","-0,15%",16013.41392857143,56.3142857142866
2023-12-14,16752.23,"16.948,79","17.003,28","16.670,35","141,29M","-0,08%",16071.137499999999,57.7235714285689
2023-12-15,16751.44,"16.822,50","16.890,11","16.713,70","173,71M","0,00%",16128.2375,57.100000000000364
2023-12-18,16650.55,"16.683,69","16.744,27","16.624,65","56,72M","-0,60%",16178.985714285713,50.7482142857134
2023-12-19,16744.41,"16.657,44","16.750,51","16.656,64","59,22M","0,56%",16228.695357142858,49.70964285714581
2023-12-20,16733.05,"16.779,41","16.789,96","16.694,56","63,37M","-0,07%",16282.218928571428,53.523571428569994
2023-12-21,16687.42,"16.667,31","16.708,35","16.624,16","57,87M","-0,27%",16330.1625,47.943571428571886
2023-12-22,16706.18,"16.673,30","16.735,32","16.651,78","46,30M","0,11%",16369.153571428573,38.99107142857247
2023-12-27,16742.07,"16.727,77","16.775,71","16.697,58","37,68M","0,21%",16404.649999999998,35.496428571424985
2023-12-28,16701.55,"16.780,95","16.783,79","16.688,52","36,09M","-0,24%",16437.32642857143,32.67642857143073
2023-12-29,16751.64,"16.729,26","16.758,53","16.726,97","26,86M","0,30%",16467.057857142856,29.731428571427386
2024-01-02,16769.36,"16.828,75","16.963,47","16.648,80","59,89M","0,11%",16498.05892857143,31.001071428574505
2024-01-03,16538.39,"16.771,35","16.784,07","16.479,92","70,85M","-1,38%",16520.83964285714,22.78071428570911
2024-01-04,16617.29,"16.563,69","16.626,84","16.501,40","65,87M","0,48%",16544.392142857145,23.55250000000524
2024-01-05,16594.21,"16.504,88","16.645,89","16.448,71","66,76M","-0,14%",16565.80214285714,21.409999999996217
2024-01-08,16716.47,"16.618,51","16.716,47","16.517,49","55,07M","0,74%",16590.337142857144,24.535000000003492
2024-01-09,16688.36,"16.743,27","16.743,27","16.611,53","59,80M","-0,17%",16616.1225,25.78535714285681
2024-01-10,16689.81,"16.703,12","16.753,69","16.654,99","61,30M","0,01%",16641.020357142857,24.897857142856083
2024-01-11,16547.03,"16.775,92","16.839,49","16.541,38","72,21M","-0,86%",16654.6125,13.59214285714188
2024-01-12,16704.56,"16.649,45","16.752,24","16.608,00","62,16M","0,95%",16672.08142857143,17.468928571430297
2024-01-15,16622.22,"16.723,24","16.736,16","16.609,22","47,80M","-0,49%",16680.106428571427,8.024999999997817
2024-01-16,16571.68,"16.497,54","16.581,93","16.476,09","73,10M","-0,30%",16686.067857142854,5.96142857142695
2024-01-17,16431.69,"16.400,42","16.435,68","16.345,02","71,44M","-0,84%",16682.445714285714,-3.622142857140716
2024-01-18,16567.35,"16.440,66","16.579,12","16.421,20","72,32M","0,83%",16679.26392857143,-3.18178571428507
2024-01-19,16555.13,"16.626,53","16.647,85","16.513,46","66,15M","-0,07%",16676.62607142857,-2.6378571428576834
2024-01-22,16683.36,"16.684,10","16.705,49","16.607,72","67,44M","0,77%",16673.916785714286,-2.7092857142852154
2024-01-23,16627.09,"16.753,09","16.753,09","16.626,59","64,37M","-0,34%",16667.940357142856,-5.976428571430006
2024-01-24,16889.92,"16.793,27","16.921,41","16.760,92","74,57M","1,58%",16671.446785714284,3.5064285714288417
2024-01-25,16906.92,"16.849,76","16.916,60","16.785,69","62,02M","0,10%",16676.477857142858,5.031071428573341
2024-01-26,16961.39,"16.879,01","16.967,72","16.849,31","84,66M","0,32%",16683.94785714286,7.470000000001164
2024-01-29,16941.71,"16.925,39","16.941,71","16.860,05","65,96M","-0,12%",16690.743214285714,6.7953571428552095
2024-01-30,16972.34,"16.991,37","16.999,58","16.946,56","61,11M","0,18%",16702.235714285714,11.492500000000291
2024-01-31,16903.76,"16.972,47","16.991,84","16.884,87","84,39M","-0,40%",16707.926785714288,5.691071428573196
2024-02-01,16859.04,"16.834,13","16.915,92","16.821,60","89,45M","-0,26%",16712.426428571427,4.499642857139406
2024-02-02,16918.21,"16.977,75","17.004,55","16.894,67","85,85M","0,35%",16720.66892857143,8.242500000003929
2024-02-05,16904.06,"16.925,97","16.972,62","16.859,00","69,94M","-0,08%",16727.73607142857,7.067142857140425
2024-02-06,17033.24,"16.965,89","17.049,52","16.871,32","75,54M","0,76%",16738.135000000002,10.398928571430588
2024-02-07,16921.96,"17.020,77","17.021,55","16.907,15","93,04M","-0,65%",16746.006785714282,7.871785714280122
2024-02-08,16963.83,"16.936,14","17.029,54","16.889,13","67,42M","0,25%",16753.585,7.578214285716967
2024-02-09,16926.50,"16.973,58","16.993,12","16.876,36","61,64M","-0,22%",16759.19714285714,5.612142857142317
2024-02-12,17037.35,"16.975,99","17.042,74","16.958,80","53,29M","0,65%",16777.017142857145,17.820000000003347
2024-02-13,16880.83,"16.987,09","16.991,61","16.831,53","62,96M","-0,92%",16786.429285714283,9.412142857137951
2024-02-14,16945.48,"16.872,89","16.957,78","16.857,34","53,72M","0,38%",16798.974642857145,12.545357142862485
2024-02-15,17046.69,"17.022,54","17.089,12","17.003,82","83,79M","0,60%",16810.768214285716,11.79357142857043
2024-02-16,17117.44,"17.117,37","17.198,45","17.060,38","76,38M","0,42%",16826.092500000002,15.324285714286816
2024-02-19,17092.26,"17.075,74","17.098,61","17.049,22","43,23M","-0,15%",16840.465714285714,14.373214285711583
2024-02-20,17068.43,"17.066,23","17.084,87","17.019,15","62,71M","-0,14%",16859.08714285714,18.621428571426804
2024-02-21,17118.12,"17.102,08","17.157,95","17.063,25","59,40M","0,29%",16873.85714285714,14.770000000000437
2024-02-22,17370.45,"17.326,76","17.429,66","17.279,73","86,13M","1,47%",16900.57964285714,26.722499999999854
2024-02-23,17419.33,"17.372,01","17.443,74","17.354,76","76,80M","0,28%",16930.852857142858,30.273214285716676
2024-02-26,17423.23,"17.396,74","17.460,53","17.396,40","53,16M","0,02%",16966.265,35.41214285714159
2024-02-27,17556.49,"17.431,37","17.563,41","17.428,17","59,73M","0,76%",17001.591428571428,35.32642857142855
2024-02-28,17601.22,"17.569,61","17.605,61","17.552,98","56,65M","0,25%",17038.951785714286,37.36035714285754
2024-02-29,17678.19,"17.634,61","17.742,48","17.620,11","102,74M","0,44%",17074.481428571427,35.52964285714188
2024-03-01,17735.07,"17.793,47","17.816,52","17.690,89","85,78M","0,32%",17114.052142857145,39.57071428571726
2024-03-04,17716.17,"17.743,44","17.756,39","17.684,73","1,22M","-0,11%",17143.56107142857,29.508928571423894
2024-03-05,17698.40,"17.682,78","17.746,57","17.643,11","74,18M","-0,10%",17171.828214285713,28.26714285714479
2024-03-06,17716.71,"17.685,92","17.745,16","17.682,51","91,49M","0,10%",17198.803928571426,26.975714285712456
2024-03-07,17842.85,"17.648,89","17.879,11","17.619,40","86,70M","0,71%",17230.9875,32.18357142857349
2024-03-08,17814.51,"17.849,85","17.860,51","17.795,13","67,94M","-0,16%",17261.065,30.077499999999418
2024-03-11,17746.27,"17.690,95","17.750,72","17.662,55","66,65M","-0,38%",17291.154642857142,30.08964285714319
2024-03-12,17965.11,"17.810,15","17.973,22","17.746,89","91,39M","1,23%",17330.657142857144,39.50250000000233
2024-03-13,17961.38,"17.984,50","18.001,42","17.939,56","92,88M","-0,02%",17367.913214285712,37.25607142856825
2024-03-14,17942.04,"18.002,97","18.039,05","17.899,93","93,59M","-0,11%",17404.98392857143,37.07071428571726
2024-03-15,17936.65,"17.938,14","18.038,11","17.926,72","202,91M","-0,03%",17437.24857142857,32.264642857138824
2024-03-18,17932.68,"17.936,31","18.015,49","17.902,92","63,02M","-0,02%",17473.345714285715,36.09714285714654
2024-03-19,17987.49,"17.932,18","17.998,04","17.914,18","73,42M","0,31%",17509.905000000002,36.5592857142874
2024-03-20,18015.13,"17.987,91","18.044,49","17.955,69","61,71M","0,15%",17548.784642857143,38.879642857140425
2024-03-21,18173.77,"18.019,86","18.178,47","18.019,86","79,12M","0,88%",17589.37107142857,40.58642857142695
