Monat/Jahr,Geschäftsklima.1,Geschäftslage.1,Geschäftserwartungen.1,Datum,Zuletzt,Eröffn.,Hoch,Tief,Vol.,+/- %,28daysSmoothened,diffSmoothened,Trend,daysOfTrend,Year-Month,ifoKlimaSaldoAllNeg,WirtschaftslageBinary,WirtschaftserwartungBinary
2021-07-01,20.4,29.2,11.9,2021-07-01,15603.81,"15.624,28","15.708,78","15.488,49","49,57M","0,47%",15588.746071428572,5.939285714286598,1,25,2021-07-01,False,1,1
2021-08-01,19.0,31.7,6.9,2021-08-02,15568.73,"15.631,70","15.702,89","15.511,25","53,80M","0,16%",15577.089285714286,4.012142857141953,0,0,2021-08-01,False,1,1
2021-09-01,18.4,29.8,7.6,2021-09-01,15824.29,"15.958,41","15.981,70","15.773,44","53,32M","-0,07%",15773.97892857143,5.535714285717404,1,9,2021-09-01,False,1,1
2021-10-01,15.9,29.1,3.4,2021-10-01,15156.44,"15.041,60","15.262,75","14.983,80","66,03M","-0,68%",15615.827857142856,-26.764642857142462,-1,-14,2021-10-01,False,1,1
2021-11-01,12.3,26.5,-1.0,2021-11-01,15806.29,"15.764,55","15.849,40","15.760,35","49,16M","0,75%",15423.915714285715,10.69821428571413,1,5,2021-11-01,False,1,-1
2021-12-01,7.5,21.7,-5.7,2021-12-01,15472.67,"15.233,37","15.509,46","15.187,09","86,13M","2,47%",15877.607857142855,-2.5110714285747235,-1,-4,2021-12-01,False,1,-1
2022-01-01,9.4,20.1,-0.8,2022-01-03,16020.73,"15.947,44","16.069,38","15.943,16","56,87M","0,86%",15597.676785714284,-3.39142857142906,0,0,2022-01-01,False,1,-1
2022-02-01,15.1,25.4,5.3,2022-02-01,15619.39,"15.620,56","15.687,96","15.537,05","74,93M","0,96%",15768.797857142858,6.141071428573923,1,2,2022-02-01,False,1,1
2022-03-01,-3.2,21.4,-25.2,2022-03-01,13904.85,"14.404,22","14.448,61","13.904,85","145,25M","-3,85%",15118.1525,-71.69571428571362,-1,-19,2022-03-01,False,1,-1
2022-04-01,-0.2,21.9,-20.1,2022-04-01,14446.48,"14.447,78","14.506,02","14.403,09","72,48M","0,22%",14087.518928571428,-8.80428571428638,-1,-42,2022-04-01,False,1,-1
2022-05-01,2.6,27.2,-19.4,2022-05-02,13939.07,"13.996,82","14.036,11","13.778,13","85,97M","-1,13%",14239.525714285714,-13.85357142857174,-1,-6,2022-05-01,False,1,-1
2022-06-01,2.0,26.7,-20.1,2022-06-01,14340.47,"14.478,37","14.489,00","14.329,51","68,01M","-0,33%",13989.773928571429,7.084999999999127,1,1,2022-06-01,False,1,-1
2022-07-01,-5.9,23.2,-31.2,2022-07-01,12813.03,"12.627,66","12.894,38","12.623,23","80,29M","0,23%",13703.607857142857,-39.52571428571537,-1,-16,2022-07-01,False,1,-1
2022-08-01,-4.9,22.7,-29.1,2022-08-01,13479.63,"13.471,20","13.570,22","13.464,90","57,23M","-0,03%",13011.602499999999,11.976785714286962,1,5,2022-08-01,False,1,-1
2022-09-01,-13.1,16.0,-38.3,2022-09-01,12630.23,"12.713,75","12.743,05","12.603,58","61,60M","-1,60%",13392.835714285715,-20.717499999998836,-1,-5,2022-09-01,False,1,-1
2022-10-01,-13.5,15.1,-38.4,2022-10-03,12209.48,"11.951,84","12.227,87","11.893,94","63,67M","0,79%",12727.792499999998,-36.0921428571437,-1,-27,2022-10-01,False,1,-1
2022-11-01,-10.4,12.6,-30.9,2022-11-01,13338.74,"13.344,85","13.444,07","13.287,07","51,44M","0,64%",12585.941428571428,28.825357142857683,1,6,2022-11-01,False,1,-1
2022-12-01,-6.0,14.7,-24.7,2022-12-01,14490.30,"14.543,80","14.563,70","14.423,79","61,60M","0,65%",13927.25607142857,55.673214285712675,1,28,2022-12-01,False,1,-1
2023-01-01,-3.2,15.1,-19.9,2023-01-02,14069.26,"13.992,71","14.095,91","13.976,44","34,98M","1,05%",14223.60642857143,-12.610357142857538,-1,-9,2023-01-01,False,1,-1
2023-02-01,-1.3,14.5,-15.9,2023-02-01,15180.74,"15.125,12","15.222,34","15.107,83","57,10M","0,35%",14741.344285714285,45.238214285715,1,19,2023-02-01,False,1,-1
2023-03-01,2.6,17.6,-11.3,2023-03-01,15305.02,"15.399,91","15.478,84","15.254,11","72,24M","-0,39%",15328.69607142857,9.69499999999789,1,39,2023-03-01,False,1,-1
2023-04-01,3.5,16.7,-9.0,2023-04-03,15580.92,"15.623,45","15.659,35","15.553,90","70,89M","-0,31%",15287.687142857143,6.465357142857101,1,3,2023-04-01,False,1,-1
2023-05-01,-0.2,16.2,-15.4,2023-05-02,15726.94,"15.950,36","16.011,56","15.707,55","80,23M","-1,23%",15598.345000000001,28.341428571429788,1,21,2023-05-01,False,1,-1
2023-06-01,-6.2,13.7,-24.2,2023-06-01,15853.66,"15.744,01","15.863,41","15.734,86","55,20M","1,21%",15915.230357142858,-0.999999999996362,0,0,2023-06-01,False,1,-1
2023-07-01,-8.8,8.2,-24.3,2023-07-03,16081.04,"16.187,91","16.209,29","16.070,49","52,05M","-0,41%",16010.3725,8.532499999999345,1,1,2023-07-01,False,1,-1
2023-08-01,-12.2,2.7,-25.9,2023-08-01,16240.40,"16.414,79","16.430,66","16.240,40","63,46M","-1,26%",16044.190357142856,9.008571428568757,1,4,2023-08-01,False,1,-1
2023-09-01,-12.1,2.0,-25.2,2023-09-01,15840.34,"15.936,34","15.984,59","15.840,25","54,05M","-0,67%",15906.153214285714,-13.258928571429351,-1,-11,2023-09-01,False,1,-1
2023-10-01,-10.0,3.1,-22.2,2023-10-02,15247.21,"15.439,96","15.476,38","15.192,01","61,42M","-0,91%",15659.475,-17.185714285713402,-1,-11,2023-10-01,False,1,-1
2023-11-01,-9.5,3.6,-21.8,2023-11-01,14923.27,"14.851,96","14.949,58","14.786,32","63,59M","0,76%",15100.510357142857,-22.643571428570795,-1,-33,2023-11-01,False,1,-1
2023-12-01,-11.4,1.7,-23.7,2023-12-01,16397.52,"16.296,92","16.399,06","16.279,45","68,14M","1,12%",15504.803214285714,54.199285714286816,1,17,2023-12-01,False,1,-1
2024-01-01,-13.9,-1.9,-25.1,2024-01-02,16769.36,"16.828,75","16.963,47","16.648,80","59,89M","0,11%",16498.05892857143,31.001071428574505,1,36,2024-01-01,True,-1,-1
2024-02-01,-12.7,-1.9,-23.0,2024-02-01,16859.04,"16.834,13","16.915,92","16.821,60","89,45M","-0,26%",16712.426428571427,4.499642857139406,1,7,2024-02-01,True,-1,-1
2024-03-01,-8.1,0.6,-16.4,2024-03-01,17735.07,"17.793,47","17.816,52","17.690,89","85,78M","0,32%",17114.052142857145,39.57071428571726,1,28,2024-03-01,False,1,-1
