rasterColumn,count,sum,mean,sum_area_weighted
viirs_nas_202204,134,4193.8,31.29701,2113.71
viirs_nas_202205,,,
viirs_nas_202206,,,
viirs_nas_202207,,,
viirs_nas_202208,139,3277.6,23.57986,1651.94
viirs_nas_202209,144,3691.3,25.63403,1860.45
viirs_nas_202210,144,3193.5,22.17708,1609.55
viirs_nas_202211,144,1995,13.85417,1005.5
viirs_nas_202212,129,8323.5,64.52326,4195.12
viirs_nas_202301,113,3806.7,33.68761,1918.61
viirs_nas_202302,129,2527,19.58915,1273.63
viirs_nas_202303,131,1709.3,13.04809,861.5
viirs_nas_202304,128,2046.8,15.99063,1031.61
viirs_nas_202305,,,
viirs_nas_202306,,,
viirs_nas_202307,,,
viirs_nas_202308,29,324.2,11.17931,163.4
viirs_nas_202309,143,2583.6,18.06713,1302.16
viirs_nas_202310,141,3253.5,23.07447,1639.79
viirs_nas_202311,138,3718.7,26.9471,1874.26
viirs_nas_202312,137,4216.8,30.77956,2125.31
viirs_nas_202401,134,9320.9,69.55896,4697.82
viirs_nas_202402,144,2462.1,17.09792,1240.92
viirs_nas_202403,143,2782.8,19.46014,1402.56
