rasterColumn,count,sum,mean,sum_area_weighted
viirs_nas_202210,4077,63912.2,15.67628,38752.52
viirs_nas_202211,4202,117982,28.07758,71537.21
viirs_nas_202212,4217,116661.9,27.66467,70736.78
viirs_nas_202301,4194,116092,27.6805,70391.23
viirs_nas_202302,3907,58811,15.05273,35659.46
viirs_nas_202303,4222,71575.5,16.95298,43399.09
viirs_nas_202304,4222,68451.2,16.21298,41504.7
viirs_nas_202305,1997,54976.4,27.52949,33334.39
viirs_nas_202306,,,
viirs_nas_202307,,,
viirs_nas_202308,4217,66939.4,15.8737,40588.04
viirs_nas_202309,4217,74403.1,17.64361,45113.58
viirs_nas_202310,4189,73790.1,17.61521,44741.89
viirs_nas_202311,4216,95941.1,22.75643,58172.93
viirs_nas_202312,3942,149390.3,37.89708,90581.32
viirs_nas_202401,3955,121220.6,30.64996,73500.9
viirs_nas_202402,4027,111914.3,27.79099,67858.12
viirs_nas_202403,4185,110444.5,26.39056,66966.92
