rasterColumn,count,sum,mean,sum_area_weighted
viirs_nas_202210,4093,121855.6,29.77171,69909.89
viirs_nas_202211,3959,244913.6,61.86249,140509.61
viirs_nas_202212,3917,152810,39.012,87668.77
viirs_nas_202301,3988,159446.6,39.98159,91476.26
viirs_nas_202302,3865,183371.5,47.44411,105202.23
viirs_nas_202303,4083,130652.8,31.99922,74956.94
viirs_nas_202304,4087,115571.7,28.27788,66304.75
viirs_nas_202305,1595,42294.7,26.51705,24264.93
viirs_nas_202306,,,
viirs_nas_202307,,,
viirs_nas_202308,4100,93649.4,22.84132,53727.68
viirs_nas_202309,4097,80767,19.71369,46336.91
viirs_nas_202310,4088,120764.1,29.54112,69283.68
viirs_nas_202311,3846,107055.3,27.83549,61418.8
viirs_nas_202312,3896,218109.2,55.98285,125131.63
viirs_nas_202401,3758,147369.9,39.21498,84547.72
viirs_nas_202402,3800,210951.2,55.51347,121025.01
viirs_nas_202403,4029,150727.1,37.41055,86473.78
