rasterColumn,count,sum,mean,sum_area_weighted
viirs_nas_202302,200,1094.3,5.4715,631.57
viirs_nas_202303,234,1200.6,5.13077,692.92
viirs_nas_202304,234,1285,5.49145,741.63
viirs_nas_202305,,,
viirs_nas_202306,,,
viirs_nas_202307,,,
viirs_nas_202308,234,1125,4.80769,649.29
viirs_nas_202309,234,1118,4.77778,645.25
viirs_nas_202310,234,1088.7,4.65256,628.34
viirs_nas_202311,232,1306.4,5.63103,753.98
viirs_nas_202312,219,1087.5,4.96575,627.64
viirs_nas_202401,230,2039.2,8.86609,1176.91
viirs_nas_202402,211,1232,5.83886,711.04
viirs_nas_202403,226,1389.1,6.14646,801.71
