rasterColumn,count,sum,mean,sum_area_weighted
viirs_nas_202202,19411,1287710.3,66.3392,730171.43
viirs_nas_202203,20337,1025573.2,50.42893,581531.62
viirs_nas_202204,20358,936484.6,46.00082,531015.63
viirs_nas_202205,,,
viirs_nas_202206,,,
viirs_nas_202207,,,
viirs_nas_202208,20419,747125.1,36.5897,423642.96
viirs_nas_202209,20419,777948.9,38.09927,441121.01
viirs_nas_202210,20416,754258,36.94446,427687.54
viirs_nas_202211,20271,1006464.3,49.65045,570696.28
viirs_nas_202212,18678,1121465.9,60.04208,635905.73
viirs_nas_202301,20362,930415.2,45.6937,527574.1
viirs_nas_202302,18893,882196.3,46.69435,500232.49
viirs_nas_202303,20380,1050471.7,51.54424,595649.83
viirs_nas_202304,20419,869082.5,42.56244,492796.57
viirs_nas_202305,699,16302.6,23.32275,9244.08
viirs_nas_202306,,,
viirs_nas_202307,,,
viirs_nas_202308,20419,775085.5,37.95903,439497.37
viirs_nas_202309,20419,761322.8,37.28502,431693.49
viirs_nas_202310,20414,715534.7,35.05118,405730.23
viirs_nas_202311,20407,1006461.8,49.31944,570694.86
viirs_nas_202312,18373,1659971.1,90.3484,941254.78
viirs_nas_202401,19414,1745800.4,89.92482,989922.64
viirs_nas_202402,19017,1128915.9,59.36351,640130.11
viirs_nas_202403,20310,1194597,58.81817,677373.32
