,DATE TIME (UTC),MMSI,LATITUDE,LONGITUDE,COURSE,SPEED,HEADING,NAVSTAT,IMO,NAME,CALLSIGN,AISTYPE,A,B,C,D,DRAUGHT,DESTINATION,ETA,AISTYPE_Class,byday
0,2022-10-23 00:00:27,311048300,12.68029,43.27876,149.2,14.3,147,0,9455715,RCC PRESTIGE,C6YX4,70,21,147,4,24,7.7,KR BUS,11-08 05:00,7,2022-10-23
1,2022-10-23 00:01:02,621819039,12.60652,43.38242,299.8,10.4,297,0,7605691,MARKAB,J2IW,99,0,0,0,0,3.5,ARM GUARDS ONBOARD,10-21 07:00,9,2022-10-23
2,2022-10-23 00:01:38,352001452,12.70902,43.27927,154.0,10.3,155,0,9321847,EMILY S,3E2473,80,209,35,26,16,14.9,NEW MANGALORE,10-30 00:01,8,2022-10-23
3,2022-10-23 00:01:46,374248000,12.71513,43.28851,156.9,10.0,156,0,9749738,BULK ELECTRA,3FAO5,70,169,30,24,12,12.6,ARM GUARD ON BOARD,10-28 10:00,7,2022-10-23
4,2022-10-23 00:03:12,511518000,12.72246,43.26042,150.6,7.4,154,0,9044061,BEEK6,T8A2604,70,86,24,10,6,6.7,DJIBOUTI,10-23 10:30,7,2022-10-23
5,2022-10-23 00:32:40,373309000,12.75159,43.24729,157.6,11.2,154,0,9902081,NORD MELBOURNE,3FQP7,70,153,26,8,21,10.1,FUJAIRAH,10-28 07:00,7,2022-10-23
6,2022-10-23 00:40:42,538006176,12.75624,43.2574,156.7,9.6,158,0,9338565,MANTA HATICE,V7KN2,70,155,20,16,13,5.6,ARMED GUARDS ONBOARD,10-26 18:00,7,2022-10-23
12,2022-10-23 01:18:15,538009384,12.75255,43.26065,151.7,9.7,155,0,9446441,PATRIOTSHIP,V7A4666,70,254,38,28,17,16.5,POHANG,11-14 09:00,7,2022-10-23
13,2022-10-23 01:28:19,563078300,12.61458,43.3931,298.6,14.6,298,0,9848950,MAERSK HOUSTON,9V3092,70,115,238,27,27,16.0,SGSIN > EGSUZ,10-26 18:00,7,2022-10-23
14,2022-10-23 01:34:57,636018564,12.62186,43.35994,301.4,20.7,303,0,9679892,CMA CGM CONGO,D5QG7,71,228,72,18,30,13.5,JEDDAH SAJED,10-24 11:00,7,2022-10-23
15,2022-10-23 01:50:49,563049900,12.60839,43.39784,300.0,21.5,300,0,9699189,SAN CLEMENTE,9V9091,71,225,75,16,32,11.6,OMSLL>>EGSUC,10-25 21:00,7,2022-10-23
17,2022-10-23 02:02:22,538008370,12.61333,43.38167,300.0,13.0,511,0,9308833,LOVINA,V7A2286,89,213,31,19,23,8.2,SUEZ,10-27 08:00,8,2022-10-23
21,2022-10-23 02:08:24,477098400,12.61577,43.3909,299.7,14.1,298,0,9612131,AFRICAN VENTURE,VRKG3,70,155,25,23,7,9.8,ARM GUARD ONBOARD,10-27 10:00,7,2022-10-23
22,2022-10-23 03:02:55,372506000,12.73623,43.26263,156.0,8.6,155,0,9304370,TAI HONESTY,3EJF9,70,164,26,16,16,12.0,ARMED GUARD ONBOARD,10-28 12:00,7,2022-10-23
23,2022-10-23 03:15:11,218350000,12.61001,43.39097,304.9,19.3,304,0,9450428,NAGOYA EXPRESS,DGWD2,71,243,92,16,26,13.8,INMUN >SAJED,10-24 06:00,7,2022-10-23
24,2022-10-23 03:23:31,624016000,12.76139,43.25637,156.7,5.8,156,0,9617375,FINFINE,ETFN,70,150,16,10,17,9.4,DJIBOUTI,10-23 18:30,7,2022-10-23
25,2022-10-23 03:34:53,511100597,12.6268,43.36911,307.1,16.0,301,0,9044011,HAJ MOHAMMED,T8A3766,70,131,26,15,10,5.8,ALADABIYA,10-27 20:30,7,2022-10-23
26,2022-10-23 03:55:16,353428000,12.7368,43.27458,157.4,11.7,154,0,9467407,MSC LAUREN,3FZR5,73,146,220,32,16,16.8, COLOMBO,10-29 18:35,7,2022-10-23
30,2022-10-23 04:03:33,374829000,12.75235,43.25921,160.8,8.5,156,0,9761700,WANG DA,3EFG3,70,150,30,14,16,9.9,SINGAPORE PEBGA,11-05 08:00,7,2022-10-23
32,2022-10-23 04:24:52,366102000,12.76385,43.26252,156.2,13.5,153,0,9448425,LIBERTY PROMISE,WWMZ,72,37,163,18,14,8.6,AE JEA,10-27 11:00,7,2022-10-23
33,2022-10-23 04:27:12,636015928,12.71983,43.26767,154.0,8.9,154,0,9416408,TENACITY,D5DN7,81,150,32,13,19,11.5,ARMED GUARD ONBOARD,10-23 09:00,8,2022-10-23
34,2022-10-23 04:44:03,636019291,12.74079,43.25811,154.3,8.2,152,0,9728801,CL ZHENJIANG,D5TV5,70,196,32,12,20,13.8,ARMED GUARD ONBOARD,11-06 10:00,7,2022-10-23
37,2022-10-23 05:05:41,636092155,12.61416,43.38991,299.6,13.7,302,0,9540869,PHILIPP OLDENDORFF,A8XR4,70,218,36,16,27,14.2,ARM GAURDS ONBOARDS,10-28 04:00,7,2022-10-23
42,2022-10-23 06:30:10,538009124,12.62199,43.37124,304.5,14.4,303,0,9597642,ACACIA,V7A4349,70,155,25,20,9,9.9,ARMED GUARDS ONBOARD,10-27 18:00,7,2022-10-23
43,2022-10-23 06:36:02,636021271,12.64747,43.35998,322.3,18.3,325,0,9708825, AL DAHNA EXPRESS,5LDC8,71,158,242,19,40,15.6,SGSIN>EGSCN,10-26 17:17,7,2022-10-23
44,2022-10-23 06:58:15,241351000,12.74733,43.24556,151.3,16.5,151,0,9627502,MARAN GAS LINDOS,SVCB7,80,233,61,23,21,9.5,FOR ORDERS,10-28 00:01,8,2022-10-23
47,2022-10-23 07:03:15,405000200,12.75078,43.2591,155.0,8.1,155,0,9339454,AKIJ HERITAGE,S2AC5,70,95,95,16,16,11.2,BD CGP,11-04 12:00,7,2022-10-23
50,2022-10-23 08:09:07,305147000,12.61364,43.40848,299.3,13.2,300,0,9499735,ENZIAN,V2QY9,70,95,16,8,9,4.2,SUEZ,10-28 11:00,7,2022-10-23
51,2022-10-23 09:05:18,370355000,12.60793,43.40619,299.3,17.1,301,0,9385685,GAS ALKHALEEJ,3ESM3,80,182,43,13,23,7.5,ARMED GUARDS ON BRD,10-24 03:00,8,2022-10-23
52,2022-10-23 09:32:35,636017408,12.73684,43.25804,153.4,14.8,154,0,9647473,MSC VENICE,D5KU2,70,163,236,19,35,13.2,OMSLL,10-25 02:00,7,2022-10-23
53,2022-10-23 09:56:25,636014378,12.75582,43.25723,154.0,9.2,157,0,9413016,BLUE SKY,A8TK7,81,198,31,26,16,12.3,FOR ORDERS,10-28 13:00,8,2022-10-23
56,2022-10-23 10:10:47,477524700,12.61514,43.37803,300.5,17.6,300,0,9704611,YM WHOLESOME,VROO4,74,146,222,20,31,15.5,EGSCN,10-26 19:00,7,2022-10-23
57,2022-10-23 10:45:01,538005846,12.62491,43.37877,306.8,17.6,307,0,9732333,UMM QARN,V7HM3,71,141,227,16,35,15.0,CN YTN > EG SCN,10-26 19:00,7,2022-10-23
59,2022-10-23 11:12:37,636022248,12.60789,43.40528,298.0,13.9,298,0,9477244,NAVIA AZURE,D5XZ6,70,194,35,22,16,7.8,SUEZ,10-27 06:00,7,2022-10-23
61,2022-10-23 11:41:58,305895000,12.73311,43.27704,158.7,8.6,159,0,9506112,JUIST,V2GC9,70,100,8,12,4,6.0,ARMED GUARDS ONBOARD,10-27 08:00,7,2022-10-23
64,2022-10-23 12:40:42,538005333,12.62136,43.39514,298.7,16.1,299,0,9663300,MORNING CHANT,V7CV7,70,32,168,24,8,9.6,SGSIN > EGSUZ,10-26 20:00,7,2022-10-23
66,2022-10-23 14:36:30,677065400,12.75862,43.259,155.9,8.5,158,0,9148221,ISTEBRAQ,5IM754,70,80,11,11,4,4.5,JEBEL ALI,10-31 12:00,7,2022-10-23
68,2022-10-23 15:52:58,477524100,12.74474,43.26213,157.7,13.1,158,0,9704609,YM WITNESS,VROL6,74,144,224,31,20,12.3,SGSIN,11-02 15:00,7,2022-10-23
70,2022-10-23 16:03:46,352001333,12.62101,43.38992,301.6,12.4,300,0,9403035,CEDAR,3E4063,70,166,24,20,12,8.3,ARMED GUARD ON BOARD,10-25 06:00,7,2022-10-23
71,2022-10-23 16:28:28,564956000,12.74871,43.25835,157.4,9.1,160,0,9324306,HAFNIA HUDSON,9V2881,80,197,31,24,8,10.9,SARAB>>YEADE,10-24 08:00,8,2022-10-23
