DATE TIME (UTC),MMSI,LATITUDE,LONGITUDE,COURSE,SPEED,HEADING,NAVSTAT,IMO,NAME,CALLSIGN,AISTYPE,A,B,C,D,DRAUGHT,DESTINATION,ETA,AISTYPE_Class,bythehour,count
2024-03-24 00:06:08,613003901,12.75059,43.26409,155.3,7.6,511,0,9254422,OSTRA,TJMC168,89,12,133,11,11,9.8,KFK,03-30 12:00,8,2024-03-24 00,4
2024-03-24 00:12:50,538009223,12.73063,43.26151,150.8,9.6,150,0,9362982,LENI,V7A4474,70,201,24,14,18,13.2,BIK IRAN,03-31 06:00,7,2024-03-24 00,4
2024-03-24 00:26:58,538007541,12.61087,43.39418,300.1,12.9,299,0,9567439,NS QINGDAO,V7UM6,70,161,29,16,16,12.9,EGYPT/CHINESE CREW,03-28 12:00,7,2024-03-24 00,4
2024-03-24 00:35:48,356576000,12.75885,43.25261,154.7,9.7,157,0,9493638,THE FINDER,3FLQ,79,192,33,10,22,13.4,ARMS GUARD ONBOARD,03-31 06:00,7,2024-03-24 00,4
2024-03-24 01:18:11,577474000,12.60629,43.40382,298.0,11.1,511,0,9145126,ANKA SKY,YJWX2,70,75,10,6,7,5.6,TURKISH CREW ONBOARD,03-29 12:00,7,2024-03-24 01,5
2024-03-24 02:06:07,538005368,12.75146,43.25845,156.3,9.6,156,0,9209116,AGNES,V7DC9,70,193,32,19,13,10.8,UMM QASR(IRAQ),03-31 09:00,7,2024-03-24 02,7
2024-03-24 02:55:46,351095000,12.61075,43.40445,302.0,11.7,302,0,9244087,JAGUAR 1,3FKG5,70,130,25,10,14,8.1,SUEZ EG,03-30 12:00,7,2024-03-24 02,7
2024-03-24 04:18:11,620999092,12.7403,43.26338,154.4,6.6,158,0,9061588,ATLANTIC 22,D6A3097,70,132,26,10,15,9.5,DJIBOUTI/SYRIANCREW,03-24 13:00,7,2024-03-24 04,8
2024-03-24 05:00:53,636022445,12.6105,43.39445,298.9,16.1,301,0,9426051,ROZA,5LIV4,70,169,60,28,10,7.5,RU ULU,04-12 16:20,7,2024-03-24 05,11
2024-03-24 05:04:47,477390100,12.76007,43.25389,152.5,7.5,156,0,9695224,HUANGHAI STRUGGLER,VRNH2,70,149,17,13,14,11.2,ALL CREW CHINESE,04-10 08:00,7,2024-03-24 05,11
2024-03-24 05:43:23,563092500,12.74632,43.26401,158.1,7.6,159,0,9456460,INCE AKDENIZ,9V3373,70,161,29,14,18,12.8,ARMED GUARD ON BOARD,03-18 15:00,7,2024-03-24 05,11
2024-03-24 06:39:29,352002878,12.73463,43.26575,152.6,5.8,154,0,9463528,GLORY STAR 1,3E4656,80,118,24,17,6,4.7,"FUJAIRAH,UAE",04-01 13:00,8,2024-03-24 06,13
2024-03-24 06:59:30,248826000,12.75281,43.25094,156.9,7.5,158,0,9577446,ELINA B.,9HA2530,79,164,32,10,22,11.2,GRDS OB_RUSSIAN CREW,04-03 15:00,7,2024-03-24 06,13
2024-03-24 08:27:57,352002305,12.75798,43.25058,156.5,8.3,152,0,9220988,YASSIN BEY,HOA7635,79,152,20,13,14,10.7,"MUMBAI,INDIA",03-30 21:00,7,2024-03-24 08,14
2024-03-24 09:13:46,626418000,12.61953,43.38645,301.0,13.8,301,0,9422445,SCF SURGUT,TRBK9,89,230,44,15,33,9.3,ARMED GUARDS ONBOARD,03-28 06:00,8,2024-03-24 09,15
