,DATE TIME (UTC),MMSI,LATITUDE,LONGITUDE,COURSE,SPEED,HEADING,NAVSTAT,IMO,NAME,CALLSIGN,AISTYPE,A,B,C,D,DRAUGHT,DESTINATION,ETA,AISTYPE_Class,byday
59,2023-10-23 11:04:09,538005513,12.61896,43.38916,300.6,13.6,298,0,9690846,STI BROADWAY,V7EQ4,80,216,40,22,21,14.3,SUEZ,10-27 13:00,8,2023-10-23
61,2023-10-23 11:24:11,538090563,12.74493,43.25358,156.6,9.3,157,0,9151917,BARRIER,V7A4185,71,130,19,12,12,8.7,DJJIB,10-23 19:00,7,2023-10-23
62,2023-10-23 11:24:45,636021692,12.6008,43.39953,300.0,14.0,298,0,9262900,MINERVA LYDIA,5LFF7,80,146,34,12,20,8.5,ARMED GUARDS ONBOARD,10-28 06:00,8,2023-10-23
63,2023-10-23 11:58:59,354432000,12.75867,43.25587,154.0,8.3,155,0,9249271,NOTA APP,3FBJ2,79,167,22,13,19,12.2,MINA SAUD,10-31 06:00,7,2023-10-23
68,2023-10-23 12:11:20,566473000,12.61291,43.38798,301.7,16.2,300,0,9713624,EPIC SULA,9V2736,80,101,19,17,4,6.8,JOAQJ,10-27 05:00,8,2023-10-23
69,2023-10-23 12:16:27,431003000,12.6069,43.40776,301.2,16.5,301,0,9806079,ONE APUS,7KEG,71,142,222,40,11,14.5,EG SUZ,10-26 19:30,7,2023-10-23
70,2023-10-23 12:54:51,319120100,12.60835,43.40355,297.2,14.7,297,0,9680114,STOLT LOYALTY,ZGEY4,80,154,31,18,14,10.3,FOR_ORDERS,10-27 15:00,8,2023-10-23
71,2023-10-23 12:56:06,538010691,12.75706,43.255,156.6,8.6,156,0,9551703,TITANAS,V7A7270,70,160,30,23,9,12.1,ARMED GUARDS ONBOARD,11-09 23:00,7,2023-10-23
72,2023-10-23 12:57:35,636022479,12.60125,43.4013,301.0,14.9,301,0,9322827,PERIA,5LIZ6,89,215,35,18,26,8.0,ARMED GUARDS ONBOARD,10-27 09:00,8,2023-10-23
78,2023-10-23 13:25:46,255806188,12.60333,43.40467,300.9,16.2,300,0,9789697,UHL FALCON,CQAJ2,90,10,140,17,9,6.9,SUEZ CANAL,10-27 02:00,9,2023-10-23
