"DATE TIME (UTC)","MMSI","LATITUDE","LONGITUDE","COURSE","SPEED","HEADING","NAVSTAT","IMO","NAME","CALLSIGN","AISTYPE","A","B","C","D","DRAUGHT","DESTINATION","ETA"
"2024-01-01 12:00:42",538010545,12.72269,43.27398,162.8,12.1,161,0,9950090,"CAPE BYRON","V7A6200",70,131,41,4,24,7.1,"ARMED GUARD ON BOARD","01-06 18:00"
"2024-01-01 12:04:07",305718000,12.67029,43.29075,157.0,13.1,157,0,9504724,"BBC AMETHYST","V2FL9",70,11,143,10,13,6.4,"CHENNAI","01-10 00:30"
"2024-01-01 12:48:55",636014310,12.60915,43.39630,300.0,14.9,299,0,9422445,"SCF SURGUT","A8SW8",89,230,44,15,33,9.3,"ARM GUARDS ONBOARD","01-06 00:00"
"2024-01-01 13:03:54",538009930,12.64081,43.35948,316.9,12.7,324,0,9601194,"KING PHILIPPOS","V7A5356",80,205,45,30,14,14.0," SUEZ-EGYPT","01-05 11:00"
"2024-01-01 13:03:56",636014310,12.64885,43.34708,335.0,14.9,341,0,9422445,"SCF SURGUT","A8SW8",89,230,44,15,33,9.3,"ARM GUARDS ONBOARD","01-06 00:00"
"2024-01-01 13:22:33",352999898,12.73500,43.26755,158.6,12.5,157,0,9966049,"PRINCESA GUAYARMINA","3E2351",70,38,39,9,3,5.5,"ARMED GUARD ONBOARD","01-12 16:00"
"2024-01-01 13:25:37",229717000,12.60557,43.41186,294.8,13.2,294,0,9692832,"CAPTAIN JOHN","9HA3545",80,210,41,30,15,14.0,"SUEZ","01-05 20:00"
"2024-01-01 13:34:59",630001026,12.60543,43.41059,297.7,9.5,294,8,6829082,"MAYSA","J5AD3",70,61,17,4,8,4.4,"DJIBOUTI","12-25 12:00"
"2024-01-01 13:37:34",405000390,12.72532,43.25773,154.6,12.0,154,0,9928853,"MEGHNA PROGRESS","S2CL6",70,171,29,24,12,12.3,"ARM GUARD ONBOARD","01-15 21:00"
"2024-01-01 13:41:14",624015000,12.72525,43.26888,156.3,10.3,154,0,9617387,"ASSOSA","ETAO",70,150,16,10,17,9.5,"DJIBOUTI","01-01 17:00"
"2024-01-01 13:41:57",636023107,12.60963,43.39290,299.0,16.4,299,0,9447809,"OCEANIC MOON","5LLZ4",81,143,31,19,9,10.2,"EGSCN","01-06 09:00"
"2024-01-01 14:00:01",636023107,12.66661,43.33608,344.7,16.3,346,0,9447809,"OCEANIC MOON","5LLZ4",81,143,31,19,9,10.2,"EGSCN","01-06 09:00"
"2024-01-01 14:00:01",352999898,12.61479,43.32711,146.4,13.0,146,0,9966049,"PRINCESA GUAYARMINA","3E2351",70,38,39,9,3,5.5,"ARMED GUARD ONBOARD","01-12 16:00"
"2024-01-01 14:00:04",405000390,12.65743,43.29335,152.8,12.4,152,0,9928853,"MEGHNA PROGRESS","S2CL6",70,171,29,24,12,12.3,"ARM GUARD ONBOARD","01-15 21:00"
"2024-01-01 14:00:06",229717000,12.69882,43.32361,334.8,13.8,335,0,9692832,"CAPTAIN JOHN","9HA3545",80,210,41,30,15,14.0,"SUEZ","01-05 20:00"
"2024-01-01 14:00:08",630001026,12.64086,43.35395,328.7,9.4,329,8,6829082,"MAYSA","J5AD3",70,61,17,4,8,4.4,"DJIBOUTI","12-25 12:00"
