Frage 3: Welchen Politiker oder welche Politikerin sollte das Handelsblatt unbedingt interviewen? (Freitext),count
Habeck,22
Scholz,18
Olaf Scholz,16
Alice Weidel,15
Robert Habeck,14
Merz,12
Lindner,11
Friedrich Merz,10
Putin,8
Söder,8
Donald Trump,7
Wagenknecht,6
Trump,5
Weidel,5
Markus Söder,5
Boris Pistorius,5
Sarah Wagenknecht,5
Hendrik Wüst,5
Christian Lindner,4
Keinen,3
Merkel,3
Kanzler Scholz,3
Pistorius,3
Angela Merkel,3
