1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],GermanName,year
386.220943210158,381.426601988858,435.390562704053,581.890707054199,718.031333833452,783.410145350826,748.771398305264,730.768895169711,743.474068758273,768.983982488127,871.541118578619,1172.49024782635,1250.69760373871,1137.22518193721,993.087359512285,1077.33354456712,1005.30436295766,995.314492504112,1295.91646396787,692.858733495909,822.363212618705,817.184094202706,773.927146677283,789.274291959589,786.845888137365,700.16323623489,706.984217524458,780.270553202226,976.5193035158,1119.98086164741,1129.35797897075,1177.96860522717,1311.00296446609,1476.00907898906,1445.86024905123,1383.81386476157,1497.92658476665,1433.7239284003,1559.13904919246,1631.7139850845,1399.67533591995,1426.06548113211,1479.86222187116,1594.06011023775,1538.68791249516,1539.13054519245,1654.25703730592,1563.48894034459,Kamerun,1975
,,,,..,179.261123623496,123.69564857953,140.287918684868,131.976982359418,140.563176599027,164.17023662901,192.328245030543,225.055053607502,232.941809836098,196.83772994302,240.832676023286,229.551619475977,268.697482809106,261.511902762224,186.682399998879,252.975284209893,399.028143774189,730.448784937117,588.641608084861,948.229598488773,1527.05637771592,2031.41938636331,2395.84511947529,3146.51857534028,5337.61438929676,9502.85881614782,11140.1901650513,13776.9033327262,19849.7177669705,14398.770485777,14905.5145764646,18659.4160247571,18756.4250273225,17644.5943045414,16804.9249271976,9788.98380398528,8035.30766558427,8410.39798030589,8719.18686965483,7317.39002392662,6198.94252378655,7406.08497479348,7182.26538205027,Äquatorial Guinea,1979
,,,,,,2482.92048465463,2963.49805963631,3551.4946474781,3556.48502920437,3812.10636953974,4274.80524001059,2651.48486764377,2361.4171983608,2246.19174034655,2237.05226140112,..,..,1066.74193845197,1197.64214617436,1585.97793678392,1954.66075232286,1823.27451370299,1737.70003294514,1765.78364270671,1672.02287649013,1902.94763906684,1910.4771336696,2259.51631977961,2751.79304173638,3226.61397063388,3736.1777926143,4838.00355614642,5623.91168093228,5602.5562818391,6458.57395613765,8201.58167797698,8329.00206664876,6280.68186740814,5757.54333251596,4990.93679541655,5497.24323254699,5758.59072766807,3850.75125293224,3276.75326508099,2746.41948317956,4084.20030479458,4669.57137993878,Iran,1981
,,,,,,,,,,,253.328142460738,392.477605293152,394.736136326923,309.86096692704,244.754072287281,182.794466281261,151.976541278142,165.465035899964,198.282051318712,278.316613219868,284.456803503525,286.572744910157,292.169481253444,257.678577745517,257.829605739453,235.852974853568,241.868930237494,250.690588410025,292.472665588666,330.602854382722,346.768462326785,401.709187643744,473.302833431521,799.929632091229,824.73767112214,837.095884208132,796.711139410077,819.757867338416,897.50972863557,864.180059289672,753.684405508036,766.177604015442,793.128082237434,823.024732902811,846.881199214917,883.465728077878,964.39586947645,Uganda,1986
,,,,,,,,,,,,,,,,..,248.341309436768,236.130124297588,260.312514902478,267.944681117364,306.322258244353,299.573125105612,320.965283309052,292.351043082893,295.19692403481,305.602758823285,286.297715428802,327.976020750513,401.374525156058,387.898540350192,420.528739757639,450.409713679088,459.178402670323,602.063223832873,504.972460176652,643.790042311239,..,..,..,..,..,..,..,..,..,..,..,Eritrea,1991
,,,,,,,,,,,,,,,,,337.54887387114,287.993968686814,262.236435451774,208.169562547355,172.916499160817,150.646900773586,214.429331694379,175.555565352922,137.18190923442,168.638593302984,186.663375966457,233.094086999172,305.266043550168,333.71393843865,401.026829310322,517.434872524171,704.650178811389,666.721290565438,740.276191244616,837.881495181805,959.36021750698,1038.32071676208,1094.43012404185,970.362599665447,801.39383995978,844.36524984854,850.666958175637,889.023371804416,852.330229562269,916.691967061922,1054.18948358818,Tadschikistan,1992
,,,,,,,,,,,,,,,,,,,1462.02861363291,1370.4784567014,1452.5071047646,1396.6571872706,1511.25979105507,1210.5874393672,1276.28038121269,1244.37318523431,1479.38066337175,1819.52653114699,2378.33700470129,3126.07176665248,3848.22350300163,4735.48107556066,6376.17569162063,5352.48809190697,6034.67885177216,6527.6593428786,6953.21591683101,7998.0802045456,8341.29014337961,5967.06856034227,5039.77560949445,5785.53397723676,6360.05310087258,6837.76832136779,6542.8645398436,7489.71894713888,7888.26371063212,Belarus,1994
,,,,,,,,,,,,,,,,,,,,,,807.891899370651,663.728702844685,780.589705459903,1029.96068881894,859.440012475987,910.869710766426,1023.08849619066,1314.41128060735,1810.58894236459,2116.86894319341,2219.91230676263,2848.6531631791,2283.94987239428,2962.76248130765,3415.06237416639,3753.86092808102,3719.6510360643,3623.80745981756,2455.34791009784,2107.5030239722,2227.72013856074,2715.24310477161,2508.9447830009,2011.2694790099,2540.47321153317,2649.22502230642,Kongo,1997
,,,,,,,,,,,,,,,,,,,,,,,,745.206782171228,742.865697154312,747.779122941073,749.081632535869,771.374231644966,813.897943575246,852.890188282475,907.817943782596,980.031032399576,1131.63572564038,1164.25168346453,1227.82085311429,1322.72625083956,1418.46085811933,2102.19794830208,2239.11453821208,2409.31190224284,2545.73879850905,2655.73321960188,2755.83829341814,2876.04366371536,2921.73870623293,3062.55148207643,3136.11276804873,Djibouti,1999
,,,,,,,,,,,,,,,,,,,,,,,,1330.75720214844,1771.59411621094,2100.3525390625,2377.52954101563,2975.123046875,4102.36474609375,5323.455078125,6920.19970703125,9101.2392578125,11635.2841796875,8562.82421875,10674.990234375,14311.064453125,15420.859375,15974.6220703125,14095.646484375,9313.021484375,8704.89453125,10720.33203125,11287.3544921875,11536.2587890625,10194.44140625,12532.05078125,15270.7060546875,Russland,1999
