,Kamerun,Äquatorial Guinea,Iran,Uganda,Eritrea,Tadschikistan,Belarus,Kongo,Djibouti,Russland,Ruanda,Syrien,Saint Vincent und Grenadinen,Azerbaidschan,Uzbekistan,Türkei,Singapur,Dominica
1975,0.0,,,,,,,,,,,,,,,,,
1976,-1.2413467745821265,,,,,,,,,,,,,,,,,
1977,12.730956298022363,,,,,,,,,,,,,,,,,
1978,50.662649782192005,,,,,,,,,,,,,,,,,
1979,85.91206573765288,,,,,,,,,,,,,,,,,
1980,102.83989232674568,0.0,,,,,,,,,,,,,,,,
1981,93.87125723470362,-30.996946756102417,0.0,,,,,,,,,,,,,,,
1982,89.2100643470468,-21.741024574008478,19.355334895008824,,,,,,,,,,,,,,,
1983,92.49967714819638,-26.37724248755093,43.03698686396342,,,,,,,,,,,,,,,
1984,99.10468243812781,-21.587473202358538,43.237975246680975,,,,,,,,,,,,,,,
1985,125.65868938504954,-8.418382463216929,53.53316359102001,,,,,,,,,,,,,,,
1986,203.58018342582523,7.28943406295501,72.16843094374036,0.0,,,,,,,,,,,,,,
1987,223.82956588093577,25.54593492350716,6.788956151875595,54.92854504073904,,,,,,,,,,,,,,
1988,194.4493823884639,29.945525905186287,-4.893563327733034,55.82008871679193,,,,,,,,,,,,,,
1989,157.1293392994246,9.805029648503336,-9.534286167082328,22.316045867293923,,,,,,,,,,,,,,
1990,178.94229028924008,34.34740960851579,-9.902380071092352,-3.384570735083585,,,,,,,,,,,,,,
1991,160.29255549993167,28.054323679297397,,-27.842811104340143,,,,,,,,,,,,,,
1992,157.70598669024588,49.89166495098743,,-40.00803076914517,0.0,0.0,,,,,,,,,,,,
1993,235.53759493117667,45.88322190341739,-57.03680625115338,-34.68351589653781,-4.917097830753434,-14.680808919908799,,,,,,,,,,,,
1994,79.39439734600236,4.139925169145982,-51.76478048426307,-21.729165424468107,4.82046482434211,-22.311565598087796,0.0,,,,,,,,,,,
1995,112.92558756225316,41.12110818920206,-36.12449747843911,9.864072154163765,7.8937216386013205,-38.329060275039105,-6.261858083886764,,,,,,,,,,,
1996,111.5846146018146,122.59602958434647,-21.27574103144306,12.287881141200671,23.347283196293205,-48.772900001785146,-0.6512532504169428,,,,,,,,,,,
1997,100.3845623296919,307.4775222715251,-26.567341766621084,13.123138284792574,20.62959875062127,-55.370344138343725,-4.471282282216933,0.0,,,,,,,,,,
1998,104.358232207546,228.37103560791638,-30.013866989105324,15.332421583885349,29.243613975054473,-36.474582410771774,3.367319692863475,-17.844367128605867,,,,,,,,,,
1999,103.72947194352719,428.9655555659406,-28.88279533638277,1.7173122743175782,17.721471206678416,-47.991067681671275,-17.198102138433427,-3.379436522635814,0.0,0.0,,,,,,,,
2000,81.28567301797085,751.8614336721511,-32.65902445028537,1.7769298092937333,18.86742672989419,-59.35939360094281,-12.704828803498245,27.48743855722293,-0.3141524034570864,33.12677273891819,0.0,0.0,,,,,,
2001,83.05175572515759,1033.2180370741853,-23.3584945298183,-6.898233823302263,23.057561191243053,-50.04024413739798,-14.887220836106664,6.380570611673676,0.3451848307593366,57.831386196639585,-6.2585426883013895,4.964808350888376,0.0,,,,,
2002,102.02699178269316,1236.511269731472,-23.055242989976605,-4.523465933130595,15.283967890045446,-44.700341071878036,1.1868474787044505,12.746483963509831,0.5199698201016361,78.6599040889825,-7.948212973948571,6.762891221956991,5.7377810406887875,,,,,
2003,152.83955225194438,1655.271032412441,-8.99763670466858,-1.0411610905495081,32.06663905185752,-30.945085277293458,24.452183369089767,26.63680586321604,3.511434691656561,123.56618037248376,-2.1705021973416336,9.951524600227344,10.694764923071915,0.0,0.0,0.0,,
2004,189.98449756205588,2877.563836154128,10.82888311339336,15.45210206323398,61.62213449963906,-9.563898095923165,62.673765925244,62.69643025648335,9.217731648104447,208.27296966499154,5.962613291363567,26.289850001867364,20.099085828791786,18.255336253846906,17.342514356170426,28.205798640307563,0.0,0.0
2005,192.41241284945596,5201.126437267443,29.952368212174008,30.503800790297277,56.195737724801546,-1.1361126430402493,113.81741352412286,124.11277347563967,14.450137691648692,300.03203210401955,27.414667799807944,46.13232064816151,27.300497404982423,78.61045398565699,37.9432963274717,56.63736414994273,8.523726628965363,-0.9463118339055541
2006,204.9986350911558,6114.504260527317,50.47512861186112,36.885092575345766,69.33499332486724,18.805559832326637,163.21123041767305,162.02378620734459,21.82094493793862,420.01970726582863,40.38511395453298,60.15798405591403,42.031269550965334,179.84361430728757,65.06563732172495,70.12117407669481,22.313658925383223,6.018003064951046
2007,239.44377888195504,7585.382672074495,94.85132874963486,58.572665374516276,81.36721381577885,53.29183788706783,223.89797514247948,174.7783841491597,31.51128731600724,583.9143341188769,67.55668128566927,75.96325042852214,58.359481954770416,335.8223929529223,109.49894750548847,106.41217877980975,42.830961083550534,14.417913214982775
2008,282.1670225133041,10973.074499221077,126.5038979576729,86.83389410826146,84.8981161095302,108.75500804674309,336.1183927704972,252.60325860405396,51.85526389645247,774.3356159112213,107.58241940238852,105.50944140040585,63.33941216701143,530.8153113183954,173.04393338769967,130.47880247968428,44.91616957592524,24.401771285139915
2009,274.36091296180194,7932.2884263622545,125.6438060125154,215.76816705834642,142.43378002569833,97.51844611988255,266.1000914754249,182.70488591029078,56.23202999741582,543.4550348422503,121.47870440482299,108.18405335553712,59.935681186286445,460.1947552755671,206.08797470112728,91.57141274862005,40.997872425823005,32.77768210954014
