Date,Low,Open,Volume,High,Close,Adjusted Close
24-07-2012,28.170000076293945,28.170000076293945,0,28.450000762939453,28.450000762939453,22.50869369506836
25-07-2012,28.174999237060547,28.174999237060547,0,28.895000457763672,28.895000457763672,22.860761642456055
26-07-2012,28.8799991607666,28.8799991607666,0,29.424999237060547,29.424999237060547,23.280080795288086
27-07-2012,29.350000381469727,29.350000381469727,0,29.645000457763672,29.645000457763672,23.454137802124023
30-07-2012,29.510000228881836,29.510000228881836,0,29.614999771118164,29.614999771118164,23.430404663085938
31-07-2012,29.405000686645508,29.405000686645508,0,29.405000686645508,29.405000686645508,23.264259338378906
01-08-2012,29.190000534057617,29.190000534057617,0,29.190000534057617,29.190000534057617,23.09415626525879
02-08-2012,28.684999465942383,28.920000076293945,0,28.920000076293945,28.684999465942383,22.694616317749023
03-08-2012,28.485000610351562,28.485000610351562,0,28.485000610351562,28.485000610351562,22.536386489868164
06-08-2012,28.655000686645508,28.655000686645508,0,28.655000686645508,28.655000686645508,22.67088508605957
07-08-2012,28.795000076293945,28.795000076293945,0,28.795000076293945,28.795000076293945,22.781644821166992
08-08-2012,28.739999771118164,28.739999771118164,0,28.739999771118164,28.739999771118164,22.738130569458008
09-08-2012,28.459999084472656,28.459999084472656,0,28.459999084472656,28.459999084472656,22.5166072845459
10-08-2012,28.4950008392334,28.4950008392334,0,28.4950008392334,28.4950008392334,22.544296264648438
13-08-2012,28.639999389648438,28.639999389648438,0,28.639999389648438,28.639999389648438,22.659015655517578
14-08-2012,28.920000076293945,28.920000076293945,0,28.920000076293945,28.920000076293945,22.880542755126953
15-08-2012,28.954999923706055,28.954999923706055,0,28.954999923706055,28.954999923706055,22.908231735229492
16-08-2012,28.924999237060547,28.924999237060547,0,28.924999237060547,28.924999237060547,22.884498596191406
17-08-2012,28.5049991607666,28.5049991607666,50,29.020000457763672,29.020000457763672,22.959657669067383
20-08-2012,28.459999084472656,28.459999084472656,0,28.459999084472656,28.459999084472656,22.5166072845459
21-08-2012,28.55500030517578,28.55500030517578,0,28.55500030517578,28.55500030517578,22.591766357421875
