bythehour,MMSI,cumsum
2024-03-24 00:00:00,4,0.0
2024-03-24 01:00:00,1,4.0
2024-03-24 02:00:00,2,5.0
2024-03-24 03:00:00,0,7.0
2024-03-24 04:00:00,1,7.0
2024-03-24 05:00:00,3,8.0
2024-03-24 06:00:00,2,11.0
2024-03-24 07:00:00,0,13.0
2024-03-24 08:00:00,1,13.0
2024-03-24 09:00:00,1,14.0
2024-03-24 10:00:00,0,15.0
