date,Samara,Moscow,Yekaterinburg,Nizhnynovgorod,Chelyabinsk,Kazan,Krasnoyarsk,Ufa,Stpetersburg,Novosibirsk
2023-12-01,17.62941,44.12807,16.1884,24.68843,28.9095,5.7,40.3972,5.13077,19.58915,34.5785
2022-12-01,25.30158,49.65045,19.776,20.34797,39.012,4.46667,30.10175,4.90518,26.91729,32.347025
2021-12-01,22.732725000000002,41.81255,17.33542,26.6229,36.94556,3.46667,33.29888,3.68376,33.07676,25.44415
2020-12-01,22.050855,40.09232,15.067,18.79635,32.69769,3.33333,31.7618,1.9544899999999998,21.89028,22.593474999999998
