Ticker,Name,Exchange,Category Name,Country
WUG3.DE,Westag & Getalit AG,GER,Home Furnishings & Fixtures,Germany
WEO.MU,WEBER + OTT AG O.N.,MUN,,Germany
VT9.DE,VTG Aktiengesellschaft,GER,Railroads,Germany
VOW3.DU,VOLKSWAGEN AG VZO O.N.,DUS,Auto Manufacturers - Major,Germany
VOW.BE,VOLKSWAGEN AG ST O.N.,BER,Auto Manufacturers - Major,Germany
VIB3.DE,Villeroy & Boch AG,GER,Home Furnishings & Fixtures,Germany
TUI1.DE,TUI AG,GER,"Recreational Goods, Other",Germany
TFA.DE,HolidayCheck Group AG,GER,,Germany
T5O.DE,CytoTools AG,GER,Asset Management,Germany
STO3.DE,Sto SE & Co. KGaA,GER,General Building Materials,Germany
SNG.DE,Singulus Technologies AG,GER,,Germany
SMHN.DE,SÜSS MicroTec SE,GER,Semiconductor Equipment & Materials,Germany
SIX2.DE,Sixt SE,GER,Rental & Leasing Services,Germany
S92.DE,SMA Solar Technology AG,GER,Diversified Utilities,Germany
PRA.DE,Praktiker AG,GER,,Germany
RWE3.DE,RWE Aktiengesellschaft,GER,Diversified Utilities,Germany
RDDA.MU,DR REDDYS LABS ADR/1 IR 5,MUN,,Germany
RAA.DE,RATIONAL Aktiengesellschaft,GER,Industrial Equipment Wholesale,Germany
R6C3.DE,Royal Dutch Shell plc,GER,Major Integrated Oil & Gas,Germany
QYM.DE,Sociedad Química y Minera de Chile S.A.,GER,Chemicals - Major Diversified,Germany
PSAN.DE,PSI Software AG,GER,Business Software & Services,Germany
PFV.SG,PFEIFFER VACUUM TECHNOLOGY AG I,STU,Diversified Machinery,Germany
PDA.DE,PRO DV AG,GER,Business Services,Germany
PAH3.DE,Porsche Automobil Holding SE,GER,Auto Manufacturers - Major,Germany
NEM.DE,Nemetschek SE,GER,Technical & System Software,Germany
NDA.DE,Aurubis AG,GER,Copper,Germany
MTX.DE,MTU Aero Engines AG,GER,Aerospace/Defense - Major Diversified,Germany
MOR.MU,MORPHOSYS AG O.N.,MUN,Biotechnology,Germany
MLP.DE,MLP AG,GER,Asset Management,Germany
MLL.DE,Müller - Die lila Logistik AG,GER,Air Delivery & Freight Services,Germany
MHH.DE,Medisana AG,GER,,Germany
MAK.DE,Maternus-Kliniken Aktiengesellschaft,GER,Hospitals,Germany
LPK.DE,LPKF Laser & Electronics Aktiengesellschaft,GER,Diversified Machinery,Germany
KU2.DE,KUKA Aktiengesellschaft,GER,Diversified Machinery,Germany
KGX.DE,KION GROUP AG,GER,Trucks & Other Vehicles,Germany
KCO.DE,Klöckner & Co SE,GER,Steel & Iron,Germany
JUN3.DE,Jungheinrich Aktiengesellschaft,GER,Diversified Machinery,Germany
IVU.DE,IVU Traffic Technologies AG,GER,Technical & System Software,Germany
ISH2.DE,INTERSHOP Communications Aktiengesellschaft,GER,Technical & System Software,Germany
IFX.DU,INFINEON TECH.AG NA O.N.,DUS,Semiconductor - Broad Line,Germany
HHFA.DE,Hamburger Hafen und Logistik Aktiengesellschaft,GER,Shipping,Germany
HEN.DE,Henkel AG & Co. KGaA,GER,Personal Products,Germany
HDI.DE,"The Home Depot, Inc.",GER,,Germany
HAB.DE,Hamborner REIT AG,GER,REIT - Diversified,Germany
GXI.DE,Gerresheimer AG,GER,Medical Instruments & Supplies,Germany
GMM.DE,Grammer Aktiengesellschaft,GER,Auto Parts,Germany
FRA.DE,Fraport AG,GER,Heavy Construction,Germany
FNTN.DE,freenet AG,GER,Wireless Communications,Germany
EVK.DE,Evonik Industries AG,GER,Specialty Chemicals,Germany
EVD.DE,CTS Eventim AG & Co. KGaA,GER,Entertainment - Diversified,Germany
EV4.DE,Constantin Medien AG,GER,Broadcasting - TV,Germany
ESY.DU,EASY SOFTWARE AG,DUS,Business Services,Germany
ECK.DE,LUDWIG BECK am Rathauseck - Textilhaus Feldmeier AG,GER,Department Stores,Germany
DWNI.DE,Deutsche Wohnen SE,GER,Real Estate Development,Germany
DTEA.DE,Deutsche Telekom AG,GER,Wireless Communications,Germany
DIC.DE,DIC Asset AG,GER,Real Estate Development,Germany
DEZ.DE,DEUTZ Aktiengesellschaft,GER,Diversified Machinery,Germany
DCH1.BE,"DOW CHEM. DL 2,50",BER,Chemicals - Major Diversified,Germany
DAR.DE,DATRON AG,GER,Business Equipment,Germany
D4K.BE,DWS LTD.,BER,,Germany
CY1.MU,SBF AG,BER,,Germany
CSH.DE,CENIT Aktiengesellschaft,GER,Business Software & Services,Germany
COM.DE,comdirect bank Aktiengesellschaft,GER,Money Center Banks,Germany
COK.DE,Cancom SE,GER,Information Technology Services,Germany
CEA.DE,FRIWO AG,GER,Communication Equipment,Germany
CE2.DE,CropEnergies AG,GER,Major Integrated Oil & Gas,Germany
BIO3.DE,Biotest Aktiengesellschaft,GER,Biotechnology,Germany
BAF.DE,Clere AG,GER,,Germany
AR4.DE,AURELIUS Equity Opportunities SE & Co. KGaA,GER,Asset Management,Germany
AM3D.DE,SLM Solutions Group AG,GER,Diversified Machinery,Germany
ADV.MU,ADVA OPT.NETW.SE O.N.,MUN,Communication Equipment,Germany
AD8.BE,ARCOS DORADOS HLDGS IND.A,BER,,Germany
AB7.SG,Dominion Diamond Corp. Register,STU,,Germany
5TR.HM,DGH Deutsche Grundwert Holding AG,HAM,,Germany
4DS.DE,Daldrup & Söhne Aktiengesellschaft,GER,Oil & Gas Drilling & Exploration,Germany
1PL.DE,Powerland AG,GER,,Germany
ZO1.HA,ZOOPLUS AG,HAN,Food - Major Diversified,Germany
ZO1.DE,zooplus AG,GER,Food - Major Diversified,Germany
ZIL2.DE,ElringKlinger AG,GER,Auto Parts,Germany
ZEF.BE,ZHONGDE WASTE TECHNOLOGY,BER,Waste Management,Germany
YOC.MU,YOC AG O.N.,MUN,Marketing Services,Germany
XA6.MU,DIVERSA LTD,MUN,,Germany
WUW.DU,WUESTENROT+WUERTT.AG O.N.,DUS,Money Center Banks,Germany
WUG3.DU,WESTAG + GETALIT VZO O.N.,DUS,Home Furnishings & Fixtures,Germany
WUG.DE,Westag & Getalit AG,GER,Home Furnishings & Fixtures,Germany
WGF1.DE,Williams Grand Prix Holdings PLC,GER,,Germany
WF5A.DU,KRATOS DEF.+SEC.NEW DL001,DUS,,Germany
WDP.HM,DISNEY (WALT) CO.,HAM,,Germany
WAN.DU,WANDERER-WERKE AKTIEN,DUS,,Germany
VWS.HA,VESTAS WIND SYST. NAM.DK1,HAN,Diversified Machinery,Germany
VWS.BE,VESTAS WIND SYST. NAM.DK1,BER,Diversified Machinery,Germany
VVV1.DE,ÖKOWORLD AG,GER,,Germany
VOW3.SG,VOLKSWAGEN AG VORZUGSAKTIEN O.S,STU,Auto Manufacturers - Major,Germany
VMR1.BE,VALUE MGMT+RESH INH.O.N.,BER,,Germany
VIB3.SG,VILLEROY & BOCH AG Inhaber-Vorz,STU,Home Furnishings & Fixtures,Germany
VFF.MU,Vereinigte Filzfabriken AG,MUN,,Germany
V6C.MU,VISCOM AG O.N.,MUN,Scientific & Technical Instruments,Germany
V6C.DE,Viscom AG,GER,Scientific & Technical Instruments,Germany
V3V.MU,VITA 34 AG NA O.N.,MUN,Biotechnology,Germany
V3V.DU,VITA 34 AG NA O.N.,DUS,Biotechnology,Germany
V3V.DE,VITA 34 AG,GER,Biotechnology,Germany
V3S.DE,Vectron Systems AG,GER,Technical & System Software,Germany
V33.DU,VTION WIRELESS TECH. AG,DUS,,Germany
UZU.SG,UZIN UTZ AG Inhaber-Aktien o.N.,STU,Specialty Chemicals,Germany
UYN.HM,UNYLON AG,HAM,,Germany
UVD.SG,UNIVERSAL DISPLAY CORP. Registe,STU,,Germany
UUU.MU,3U HOLDING AG,MUN,Wireless Communications,Germany
UUU.BE,3U HOLDING AG,BER,Wireless Communications,Germany
UTDI.DE,United Internet AG,GER,Wireless Communications,Germany
USE.SG,BEATE UHSE AG Inhaber-Aktien EO,STU,"Specialty Retail, Other",Germany
USE.HA,BEATE UHSE AG,HAN,"Specialty Retail, Other",Germany
UMS.MU,UMS I.L. O.N.,MUN,,Germany
UBK.HM,UMWELTBANK AG O.N.,HAM,,Germany
TXA.DU,AMATECH AG O.N.,DUS,,Germany
TUR.BE,TURBON AG O.N.,BER,,Germany
TUI1.SG,TUI AG Namens-Aktien o.N.,STU,"Recreational Goods, Other",Germany
TTO.MU,TTL INF. TECHN. AG O.N.,MUN,,Germany
TTO.DU,TTL INF. TECHN. AG O.N.,DUS,,Germany
TTK.DU,TAKKT AG O.N.,DUS,Marketing Services,Germany
TTK.BE,TAKKT AG O.N.,BER,Marketing Services,Germany
TTI.DE,Tom Tailor Holding AG,GER,Apparel Stores,Germany
TTC.SG,transtec AG Namens-Aktien o.N.,STU,,Germany
TTB.HM,PINGUIN HAUSTECHNIK AG,HAM,,Germany
TPN.DE,Triplan AG,GER,General Contractors,Germany
TPE.HM,PVA TEPLA AG O.N.,HAM,,Germany
TM2.SG,Sydbank A/S,STU,,Germany
TLX.DE,Talanx Aktiengesellschaft,GER,Property & Casualty Insurance,Germany
TLI.BE,TELES AG INFORM.TECHN.,BER,Communication Equipment,Germany
TLG.HA,TLG IMMOBILIEN AG,HAN,,Germany
TLG.DE,TLG Immobilien AG,GER,,Germany
TIS.DU,TISCON AG O.N.,DUS,,Germany
TIN.DU,BAUMOT GROUP AG,DUS,Auto Parts,Germany
TFA.DU,TFA.DU,DUS,,Germany
TEG.BE,TAG IMMOBILIEN AG,BER,Real Estate Development,Germany
T2G.DU,TRADEGATE AG O.N.,DUS,,Germany
SZZ.DU,SINNERSCHRADER O.N.,DUS,Marketing Services,Germany
SZZ.DE,SinnerSchrader Aktiengesellschaft,GER,Marketing Services,Germany
SZU.MU,SUEDZUCKER AG O.N.,MUN,Confectioners,Germany
SZU.HM,SUEDZUCKER AG O.N.,HAM,,Germany
SZU.HA,SUEDZUCKER AG O.N.,HAN,Confectioners,Germany
SZG.BE,SALZGITTER AG O.N.,BER,Steel & Iron,Germany
SYT.DE,Softing AG,GER,Information Technology Services,Germany
SY1.DE,Symrise AG,GER,Specialty Chemicals,Germany
SWA.HM,SCHLOSS WACHENHEIM AG O.N,HAM,,Germany
SWA.DE,Schloss Wachenheim AG,GER,Beverages - Wineries & Distillers,Germany
SKYD.SG,SKYD.SG,STU,,Germany
SRT3.DU,SARTORIUS AG VZO O.N.,DUS,Scientific & Technical Instruments,Germany
SQY1.BE,"AFI DEVL.GDR REGS DL-,001",BER,,Germany
SQS.SG,SQS SOFTWARE QUALITY SYST.AG Na,STU,,Germany
SPR.SG,Axel Springer SE VINK.NAMENS-AK,STU,Publishing - Newspapers,Germany
SPM.DE,Splendid Medien AG,GER,Entertainment - Diversified,Germany
SPM.BE,SPL.MEDIEN AG O.N.,BER,Entertainment - Diversified,Germany
SPB.SG,Sedlmayr Grund u. Immob. KGaA I,STU,,Germany
SPB.MU,SEDLMAYR GRD+IMMOB.ON,MUN,,Germany
SOW.SG,Software AG Inhaber-Aktien o.N.,STU,Business Software & Services,Germany
SOW.MU,SOFTWARE AG O.N.,MUN,Business Software & Services,Germany
SOO1.HM,SOLON SE O.N.,HAM,,Germany
SNG.DU,SINGULUS TECHNOL. EO 1,DUS,,Germany
SLT.DE,Schaltbau Holding AG,GER,General Contractors,Germany
SLT.BE,SCHALTBAU HOLDING O.N,BER,General Contractors,Germany
SKB.MU,KOENIG + BAUER AG ST O.N.,MUN,Diversified Machinery,Germany
SKB.HM,KOENIG + BAUER AG ST O.N.,HAM,,Germany
SKB.DU,KOENIG + BAUER AG ST O.N.,DUS,Diversified Machinery,Germany
SJ2A.BE,"DEAN FOODS DL-,01",BER,,Germany
SIX2.HA,SIXT SE ST O.N.,HAN,Rental & Leasing Services,Germany
SIS.DU,FIRST SENSOR AG O.N.,DUS,Semiconductor Equipment & Materials,Germany
SIS.DE,First Sensor AG,GER,Semiconductor Equipment & Materials,Germany
SHWK.DE,SHS VIVEON AG,GER,Information Technology Services,Germany
SHA.DE,Schaeffler AG,GER,,Germany
SGL.MU,SGL CARBON SE O.N.,MUN,Chemicals - Major Diversified,Germany
SFX.MU,SOLAR-FABRIK AG O.N.,MUN,,Germany
SED.MU,SED.MU,MUN,,Germany
SDF.HA,K+S AG NA O.N.,HAN,Chemicals - Major Diversified,Germany
SD5.BE,"STEEL DYNAMIC DL-,0025",BER,,Germany
SCE.SG,SCHWEIZER ELECTRONIC AG NAMENS-,STU,Electronic Equipment,Germany
SCE.DE,Schweizer Electronic AG,GER,Electronic Equipment,Germany
SAX.HM,STROEER SE + CO. KGAA,HAM,,Germany
SAX.DE,Ströer SE & Co. KGaA,GER,Advertising Agencies,Germany
ROT.SG,Edmond de Rothschild(Suisse)SAI,STU,,Germany
RO5K.DE,Ropal Europe AG,GER,Chemicals - Major Diversified,Germany
RIB.DE,RIB Software SE,GER,,Germany
RHO5.BE,ROCHE HLDG AG GEN.,BER,Biotechnology,Germany
RHM.MU,RHEINMETALL AG,MUN,Diversified Machinery,Germany
RHM.DU,RHEINMETALL AG,DUS,Diversified Machinery,Germany
RHK.DE,Rhön-Klinikum Aktiengesellschaft,GER,Hospitals,Germany
R6C3.SG,Royal Dutch Shell Reg. Shares C,STU,Major Integrated Oil & Gas,Germany
R6C3.HM,ROYAL DUTCH SHELL B EO-07,HAM,,Germany
R6C2.SG,Royal Dutch Shell Reg.Sh.B (Spo,STU,Major Integrated Oil & Gas,Germany
R6C1.DE,Royal Dutch Shell plc,GER,Major Integrated Oil & Gas,Germany
R6C1.BE,ROYAL DUTCH SHELL A ADR/2,BER,Major Integrated Oil & Gas,Germany
R6C.DE,Royal Dutch Shell plc,GER,Major Integrated Oil & Gas,Germany
QSC.MU,QSC AG NA O.N.,MUN,Wireless Communications,Germany
QHH.SG,Dai-Ichi Life Holdings Inc. Reg,STU,,Germany
QCE.HM,GLOBAL PVQ SE,HAM,,Germany
QB7.DU,QUIRIN PRIVATBK O.N.,DUS,Money Center Banks,Germany
QB7.DE,Quirin Privatbank AG,GER,Money Center Banks,Germany
PWO.BE,PROGRESS-WERK OBERK. O.N.,BER,Auto Parts,Germany
PNG.DE,Pironet NDH AG,GER,,Germany
PUZ.SG,PONGS & ZAHN AG Inhaber-Aktien,STU,,Germany
PS4.DE,Phoenix Solar Aktiengesellschaft,GER,Diversified Utilities,Germany
PPA.BE,PA POWER AUTOM.AG,BER,Technical & System Software,Germany
POO.SG,Solutiance AG,STU,,Germany
PLT.DU,ALTRAD plettac assco GmbH,DUS,,Germany
PMOX.SG,DO Deutsche Office AG Inhaber-A,STU,,Germany
PMOX.DE,DO Deutsche Office AG,GER,,Germany
PDEK.DU,Panamax AG,DUS,,Germany
PGN.DE,Paragon AG,GER,Auto Parts,Germany
PFV.HA,PFEIFFER VACUUM TECH.O.N.,HAN,Diversified Machinery,Germany
PFV.DE,Pfeiffer Vacuum Technology AG,GER,Diversified Machinery,Germany
PAH3.SG,Porsche Automobil Holding SE In,STU,Auto Manufacturers - Major,Germany
PAD.MU,"PARKER DRILLING DL-,1666",MUN,,Germany
P4O.DE,Plan Optik AG,GER,Scientific & Technical Instruments,Germany
P1Z.HM,PATRIZIA IMMOBILIEN NA ON,HAM,,Germany
P1Z.DU,PATRIZIA IMMOBILIEN NA ON,DUS,Real Estate Development,Germany
P1Z.DE,Patrizia Immobilien AG,GER,Real Estate Development,Germany
OSR.HM,OSRAM LICHT AG NA O.N.,HAM,,Germany
OLG.MU,VERALLIA DTLD AG O.N.,MUN,,Germany
OLB.BE,OLDENBG.LANDESBANK O.N.,BER,,Germany
OJX.BE,DA VINCI LUXURY AG,BER,,Germany
ODP.BE,"OFFICE DEPOT INC. DL-,01",BER,,Germany
OA4.MU,SANTA FE GRP NAM. DK 70,MUN,,Germany
O4B.HA,OVB HOLDING AG,HAN,Investment Brokerage - National,Germany
O2D.HM,TELEFONICA DTLD HLDG AG,HAM,,Germany
O2D.DE,Telefónica Deutschland Holding AG,GER,Wireless Communications,Germany
O1BC.HM,XING AG NA O.N.,HAM,,Germany
NZM2.BE,NOVOZYMES A/S NAM. B DK 2,BER,,Germany
NXU.DE,Nexus AG,GER,Technical & System Software,Germany
NXI.DE,Activa Resources AG,GER,,Germany
NWX.DE,Nordwest Handel AG,GER,,Germany
NWD.MU,NEW WORLD DEV.,MUN,,Germany
NVAW.BE,DELTA EL.TH. -NVDR- BA 1,BER,,Germany
NTG.MU,NABALTEC AG INH.,MUN,Chemicals - Major Diversified,Germany
NSU.DE,AUDI AG,GER,Auto Manufacturers - Major,Germany
NSA.DU,OTI Greentech AG,DUS,,Germany
NNS.DE,Coreo AG,GER,Asset Management,Germany
NN6.MU,NANOREPRO AG,MUN,Medical Laboratories & Research,Germany
NN6.DE,NanoRepro AG,GER,Medical Laboratories & Research,Germany
NHB.MU,Nebelhornbahn AG,MUN,,Germany
NEM.DU,NEMETSCHEK SE O.N.,DUS,Technical & System Software,Germany
NBG6.BE,NUERNBERGER BET.AG VNA,BER,Accident & Health Insurance,Germany
N7G.SG,Nanogate AG Inhaber-Aktien o.N.,STU,Rubber & Plastics,Germany
N7G.DE,Nanogate AG,GER,Rubber & Plastics,Germany
N1M.MU,NET MOBILE AG O.N.,MUN,,Germany
MZX.SG,Masterflex SE Inhaber-Aktien o.,STU,Rubber & Plastics,Germany
MXH.MU,MAX AUTOMATION AG O.N.,MUN,,Germany
MXH.DE,M.A.X. Automation AG,GER,,Germany
MVV1.DE,MVV Energie AG,GER,Diversified Utilities,Germany
MUM.DE,Mensch und Maschine Software SE,GER,Business Services,Germany
MU4.DE,m4e AG,GER,Entertainment - Diversified,Germany
MSGL.BE,MSG LIFE AG O.N.,BER,,Germany
MRK.HA,MERCK KGAA O.N.,HAN,Drugs - Generic,Germany
MPCK.DE,MPC Münchmeyer Petersen Capital AG,GER,Asset Management,Germany
MLL.BE,MUELLER-DIE LILA LOGISTIK,BER,Air Delivery & Freight Services,Germany
MGN.BE,MOLOGEN AG,BER,Biotechnology,Germany
MF6.DE,MagForce AG,GER,Medical Appliances & Equipment,Germany
MEO.DE,Ceconomy AG,GER,,Germany
MED.BE,MEDICLIN AG,BER,Hospitals,Germany
MCN.BE,NTT DOCOMO INC.,BER,,Germany
MBQ.DE,Mobotix AG,GER,Communication Equipment,Germany
MBB.DE,MBB SE,GER,Asset Management,Germany
MAN3.DE,MAN SE,GER,Trucks & Other Vehicles,Germany
MAN.BE,MAN SE ST O.N.,BER,Trucks & Other Vehicles,Germany
MAK.MU,MATERNUS-KLI.AG O.N.,MUN,Hospitals,Germany
MAK.HA,MATERNUS-KLI.AG O.N.,HAN,Hospitals,Germany
M5Z.DE,Manz AG,GER,Semiconductor Equipment & Materials,Germany
M3V.DE,MeVis Medical Solutions AG,GER,Technical & System Software,Germany
M3E.DU,niiio finance group AG,DUS,,Germany
LXS.DE,LANXESS Aktiengesellschaft,GER,Specialty Chemicals,Germany
LSX.SG,LS TELCOM AG Inhaber-Aktien o.N,STU,Wireless Communications,Germany
LPK.DU,LPKF LASER+ELECTRON.,DUS,Diversified Machinery,Germany
LO24.MU,LOTTO24 AG NA O.N.,MUN,,Germany
LNSX.DE,Sixt Leasing SE,GER,,Germany
LIN.HM,LINDE AG O.N.,HAM,,Germany
LIN.HA,LINDE AG O.N.,HAN,Chemicals - Major Diversified,Germany
LHA.BE,LUFTHANSA AG VNA O.N.,BER,Major Airlines,Germany
LEI.MU,LEIFHEIT AG O.N.,MUN,Personal Products,Germany
LBA.SG,Design Hotels AG Inhaber-Aktien,STU,,Germany
L1OA.DE,Lloyd Fonds AG,GER,Asset Management,Germany
KWS.DE,KWS Saat SE,GER,Farm Products,Germany
KWS.BE,KWS SAAT SE O.N.,BER,Farm Products,Germany
KWG.DE,KHD Humboldt Wedag International AG,GER,Industrial Equipment Wholesale,Germany
KUN1.MU,KUNERT AG ST O.N.,MUN,,Germany
KUL.MU,Kulmbacher Brauerei Aktien-Gesellschaft,MUN,,Germany
KRN.HM,KRONES AG O.N.,HAM,,Germany
KRN.DU,KRONES AG O.N.,DUS,Diversified Machinery,Germany
KRN.DE,Krones AG,GER,Diversified Machinery,Germany
KNS1.SG,AREAL Immobilien u. Beteil.-AGI,STU,,Germany
KLH.SG,KOBENHAVNS LUFTHAVNE AS Navne-A,STU,,Germany
KPH.MU,KAMPA AG O.N.,MUN,,Germany
KD9.SG,Kennady Diamonds Inc.,STU,,Germany
KKD.MU,KKD.MU,MUN,,Germany
KGX.BE,KION GROUP AG,BER,Trucks & Other Vehicles,Germany
KGR.BE,LEWAG HOLDING AG,BER,,Germany
KFW1.BE,KLEPPER FALTBOOTW. O.N.,BER,,Germany
KD8.MU,KABEL DT. HOLDING AG O.N.,MUN,,Germany
KD8.HA,KD8.HA,HAN,,Germany
KBC.HA,KONTRON AG O.N.,HAN,Computer Based Systems,Germany
JUN3.DU,JUNGHEINRICH AG O.N.VZO,DUS,Diversified Machinery,Germany
JOX.MU,JOST AG O.N.,MUN,,Germany
JEN.DE,Jenoptik AG,GER,Diversified Electronics,Germany
IXX.DE,init innovation in traffic systems SE,GER,Information Technology Services,Germany
IWB.DU,IWB.DU,DUS,,Germany
IVX.BE,INVISION AG,BER,Business Software & Services,Germany
ITN.DE,Intertainment AG,GER,Entertainment - Diversified,Germany
ISR.HM,ISRA VISION O.N.,HAM,,Germany
ISR.DE,Isra Vision AG,GER,Technical & System Software,Germany
IS8.MU,IFA SYSTEMS AG,MUN,Healthcare Information Services,Germany
IS7.BE,INTICA SYSTEMS AG,BER,Diversified Electronics,Germany
INH.DE,INDUS Holding AG,GER,General Building Materials,Germany
